id,school,Females,AfricanAmerican,district,Males,Hispanic,Asian,ORGCODE,year,White,total,NativeAmerican
1,Agassiz,48.9,23.8,Boston,51.1,64.7,1.2,00350007,1994,10.1,100.0,0.2
2,Alexander Hamilton,42.3,31.7,Boston,57.7,8.9,42.3,00350011,1994,17.1,100.0,0
3,Beethoven,41.8,42.7,Boston,58.2,16.1,4.7,00350021,1994,36.1,99.9,0.3
4,Blackstone,48.7,32.4,Boston,51.3,59.9,1.2,00350390,1994,6.1,100.0,0.4
6,Boston Latin,55.6,22.8,Boston,44.4,10.4,16.6,00350560,1994,50,100.0,0.2
7,Boston Latin Academy,57.1,32.7,Boston,42.9,7,18.3,00350545,1994,41.8,100.1,0.3
8,Brighton High,50.1,42.5,Boston,49.9,25.9,24.4,00350505,1994,6.9,100.0,0.3
9,Carter Develop Day Care,50,42.9,Boston,50,35.7,0,00350036,1994,21.4,100.0,0
10,Charles H Taylor,50.5,87,Boston,49.5,3.2,1.5,00350054,1994,7.2,99.9,1
11,Charles Sumner,45,33.1,Boston,55,34.7,1.8,00350052,1994,30,99.9,0.3
12,Charlestown High,45.5,37.5,Boston,54.5,23,23.7,00350515,1994,15.4,99.9,0.3
13,Clarence R Edwards Middle,41.7,34.5,Boston,58.3,19.8,26.6,00350430,1994,19,100.1,0.2
14,Curtis Guild,45.5,27.7,Boston,54.5,10.3,30.6,00350062,1994,31.4,100.0,0
15,Dante Alighieri,49.4,18.5,Boston,50.6,26.2,9.5,00350066,1994,45.8,100.0,0
16,David A Ellis,52.9,42.6,Boston,47.1,55.8,0.2,00350072,1994,1.5,100.1,0
17,Dearborn,51.3,74.9,Boston,48.7,18.5,2.1,00350074,1994,4.5,100.0,0
18,Dennis C Haley,51.9,62.8,Boston,48.1,14,1.7,00350077,1994,21.2,100.0,0.3
19,Donald Mckay,46.5,18.6,Boston,53.5,56,0.3,00350080,1994,24.9,100.0,0.2
21,East Boston High,45.5,26.3,Boston,54.5,28.2,6.6,00350530,1994,38.5,99.9,0.3
22,Edward Everett,48.8,46.6,Boston,51.2,8.9,11.1,00350088,1994,32.2,99.9,1.1
23,ELC - East Zone,49.7,65.4,Boston,50.3,12.8,2.2,00350005,1994,19.6,100.0,0
24,ELC - North Zone,54.8,37.5,Boston,45.2,12.5,15.4,00350003,1994,33.7,100.1,1
25,ELC - West Zone,44.4,57.1,Boston,55.6,16.7,1.6,00350006,1994,23,100.0,1.6
26,Elihu Greenwood,46.8,70.4,Boston,53.2,6,0.8,00350094,1994,21.9,100.1,1
27,Eliot Elementary,39.3,51.5,Boston,60.7,21.8,3.5,00350096,1994,22.7,99.9,0.4
28,Ellis Mendell,37.4,60.8,Boston,62.6,31.1,0.4,00350100,1994,7.7,100.0,0
29,Emily A Fifield,50.2,83.7,Boston,49.8,6.2,1,00350102,1994,8,99.9,1
30,Farragut,53.3,54.1,Boston,46.7,17.5,14,00350108,1994,14.4,100.0,0
32,Franklin D Roosevelt,45.2,62.7,Boston,54.8,5.8,1.1,00350116,1994,29.9,100.0,0.5
33,George H Conley,46.5,38.2,Boston,53.5,15.3,2.3,00350122,1994,43.9,100.0,0.3
34,Grover Cleveland,48.4,59.2,Boston,51.6,22.4,6,00350415,1994,12,100.1,0.5
36,Harvard-Kent,47,24.9,Boston,53,9.3,36,00350200,1994,29.3,100.0,0.5
37,Henry Grew,55.2,60.2,Boston,44.8,9.6,1.3,00350135,1994,28,100.1,1
38,Henry L Higginson,44.1,71.4,Boston,55.9,16,1.9,00350137,1994,8.9,100.1,1.9
39,Horace Mann,47.8,32.7,Boston,52.2,39.8,7.1,00350750,1994,20.4,100.0,0
40,Hugh Roe O'Donnell,48.8,12.3,Boston,51.2,26.3,18.2,00350141,1994,42.9,100.0,0.3
41,Hyde Park High School,48.8,64,Boston,51.2,18,2.3,00350550,1994,15.4,100.0,0.3
42,Jackson Mann,47.6,38.5,Boston,52.4,13.6,35.4,00350013,1994,12.5,100.0,0
43,James A Garfield Elem,48,37.3,Boston,52,17.2,18,00350152,1994,27.3,100.1,0.3
44,James Condon Elem,46.8,50.5,Boston,53.2,9.9,7,00350146,1994,31.6,99.9,0.9
45,James J Chittick,45.1,84.6,Boston,54.9,3.3,1.3,00350154,1994,9.6,100.1,1.3
46,James M Curley,51.3,53.3,Boston,48.7,19.8,1.5,00350384,1994,24.6,100.0,0.8
47,James Otis,50.1,5.9,Boston,49.9,57.6,3.8,00350156,1994,32.2,100.0,0.5
48,James P Timilty Middle,47.7,46.6,Boston,52.3,38.9,3.4,00350485,1994,10.8,99.9,0.2
49,James W Hennigan,49.4,35.1,Boston,50.6,44,6.8,00350153,1994,13,100.0,1.1
50,Jeremiah E Burke High,46.1,75.6,Boston,53.9,11.7,6.3,00350525,1994,6.1,100.1,0.4
51,John D Philbrick,46.8,37.4,Boston,53.2,16.3,2.1,00350172,1994,43.2,100.1,1.1
52,John F Kennedy,52.7,20.8,Boston,47.3,73.8,0.7,00350166,1994,4.3,99.9,0.3
53,John Marshall,52.4,62.3,Boston,47.6,30.7,3.2,00350178,1994,3.4,100.0,0.4
54,John P Holland,51.9,46.9,Boston,48.1,30.7,17.7,00350167,1994,4.7,100.0,0
55,John W McCormack,51.5,46.9,Boston,48.5,26.2,4.3,00350179,1994,22.3,100.0,0.3
56,John Winthrop,50.6,63.1,Boston,49.4,24.7,3.7,00350180,1994,8.5,100.0,0
57,Joseph J Hurley,49.2,30.9,Boston,50.8,61.8,0.9,00350182,1994,5.6,99.9,0.7
58,Joseph Lee,47.8,79.5,Boston,52.2,7.7,2.1,00350183,1994,10.4,100.0,0.3
59,Joseph P Manning,43.3,41.4,Boston,56.7,18.7,5.4,00350184,1994,34.5,100.0,0
60,Joseph P Tynan,47,58.8,Boston,53,3.5,2.4,00350181,1994,35,99.9,0.2
61,Josiah Quincy,47.9,22.4,Boston,52.1,4.6,59.3,00350286,1994,13.5,100.0,0.2
62,Joyce Kilmer,49,31.5,Boston,51,10.5,8.5,00350190,1994,49,100.0,0.5
63,Lewis Middle School,46.8,76.6,Boston,53.2,17.1,0.4,00350455,1994,5.2,100.0,0.7
64,Lucy Stone,44.2,72.6,Boston,55.8,11.6,3.7,00350211,1994,12.1,100.0,0
65,Madison Park High,44.6,60.9,Boston,55.4,27.8,3.5,00350537,1994,7.2,99.9,0.5
66,Manassah E Bradley,48.3,23.5,Boston,51.7,10.1,8.4,00350215,1994,56.4,100.1,1.7
68,Martin Luther King Jr Mid,54.1,46.7,Boston,45.9,47.8,1.8,00350410,1994,3.5,100.0,0.2
69,Mary E Curley Middle,49.8,35.2,Boston,50.2,57,1,00350420,1994,6.9,100.1,0
70,Mary Lyon,47.9,52.1,Boston,52.1,12.7,9.9,00350004,1994,25.4,100.1,0
71,Mather,51.1,50.1,Boston,48.9,4.3,33.2,00350227,1994,11.6,100.0,0.8
72,Mattahunt,46.6,65.6,Boston,53.4,20,0.3,00350226,1994,14.1,100.0,0
73,Maurice J Tobin,55.7,32.8,Boston,44.3,61.3,1.5,00350229,1994,4.2,100.0,0.2
74,Michael J Perkins,46,41.3,Boston,54,6.6,10.4,00350231,1994,41,99.9,0.6
75,Mozart,43.8,51.4,Boston,56.2,19,0.5,00350237,1994,29,99.9,0
76,Nathan Hale,46.4,85.1,Boston,53.6,11,0,00350243,1994,3.9,100.0,0
77,O W Holmes,39.6,73.4,Boston,60.4,5.7,2.1,00350138,1994,18.8,100.0,0
78,O'Bryant Sch Math/Science,53.1,48.3,Boston,46.9,12.1,29.6,00350575,1994,9.9,100.1,0.2
79,Oliver Hazard Perry,50.2,42.7,Boston,49.8,7.9,7.5,00350255,1994,41.4,99.9,0.4
80,Patrick F Gavin Middle,50.2,46.3,Boston,49.8,9.3,11.5,00350435,1994,31.1,100.1,1.9
81,Patrick J Kennedy,46,19.3,Boston,54,22.7,5.8,00350264,1994,51.5,99.9,0.6
82,Patrick O'Hearn,44.9,59.3,Boston,55.1,5.1,4.6,00350266,1994,31,100.0,0
83,Paul A Dever,44.3,44.1,Boston,55.7,31.1,3.9,00350268,1994,20,99.9,0.8
84,Pauline Agassiz Shaw,42.5,94.7,Boston,57.5,0.6,0.3,00350270,1994,3.8,100.0,0.6
85,Phineas Bates,51.6,56.6,Boston,48.4,16.8,3.6,00350278,1994,23,100.0,0
87,Quincy E Dickerman,50,83.7,Boston,50,12.8,0.3,00350284,1994,1.4,99.9,1.7
88,Rafael Hernandez,52.1,28.2,Boston,47.9,56.6,0,00350691,1994,14.6,99.9,0.5
89,Ralph Waldo Emerson,52.5,88.8,Boston,47.5,8.4,0.6,00350288,1994,1.6,100.0,0.6
90,Richard J Murphy,46.6,61.7,Boston,53.4,3.7,5.4,00350240,1994,28.5,100.0,0.7
92,Roger Clap,47.3,45.7,Boston,52.7,9.7,9.3,00350298,1994,33.7,100.0,1.6
93,Samuel Adams,43.5,30.6,Boston,56.5,12.3,4.5,00350302,1994,52.6,100.0,0
94,Samuel W Mason,44.2,66.9,Boston,55.8,16.2,2.5,00350304,1994,12.6,100.0,1.8
95,Sarah Greenwood,45.3,53.8,Boston,54.7,45.3,0,00350308,1994,0.9,100.0,0
96,Snowden Int'l High,59.4,57.5,Boston,40.6,17.6,8.4,00350690,1994,16.1,100.0,0.4
