id,school,Females,AfricanAmerican,district,Males,Hispanic,Asian,ORGCODE,year,White,NativeAmerican
117,Agassiz,48.9,23.8,Boston,51.1,64.7,1.2,00350007,2014,10.1,0.2
118,Alexander Hamilton,42.3,31.7,Boston,57.7,8.9,42.3,00350011,2014,17.1,0
119,Beethoven,41.8,42.7,Boston,58.2,16.1,4.7,00350021,2014,36.1,0.3
120,Blackstone,48.7,32.4,Boston,51.3,59.9,1.2,00350390,2014,6.1,0.4
121,BOSTON HIGH SCHOOL,0,0,Boston,0,0,0,00350650,2014,0,0
122,Boston Latin,55.6,22.8,Boston,44.4,10.4,16.6,00350560,2014,50,0.2
123,Boston Latin Academy,57.1,32.7,Boston,42.9,7,18.3,00350545,2014,41.8,0.3
124,Brighton High,50.1,42.5,Boston,49.9,25.9,24.4,00350505,2014,6.9,0.3
125,Carter Develop Day Care,50,42.9,Boston,50,35.7,0,00350036,2014,21.4,0
126,Charles H Taylor,50.5,87,Boston,49.5,3.2,1.5,00350054,2014,7.2,1
127,Charles Sumner,45,33.1,Boston,55,34.7,1.8,00350052,2014,30,0.3
128,Charlestown High,45.5,37.5,Boston,54.5,23,23.7,00350515,2014,15.4,0.3
129,Clarence R Edwards Middle,41.7,34.5,Boston,58.3,19.8,26.6,00350430,2014,19,0.2
130,Curtis Guild,45.5,27.7,Boston,54.5,10.3,30.6,00350062,2014,31.4,0
131,Dante Alighieri,49.4,18.5,Boston,50.6,26.2,9.5,00350066,2014,45.8,0
132,David A Ellis,52.9,42.6,Boston,47.1,55.8,0.2,00350072,2014,1.5,0
133,Dearborn,51.3,74.9,Boston,48.7,18.5,2.1,00350074,2014,4.5,0
134,Dennis C Haley,51.9,62.8,Boston,48.1,14,1.7,00350077,2014,21.2,0.3
135,Donald Mckay,46.5,18.6,Boston,53.5,56,0.3,00350080,2014,24.9,0.2
136,DORCHESTER HIGH,0,0,Boston,0,0,0,00350520,2014,0,0
137,East Boston High,45.5,26.3,Boston,54.5,28.2,6.6,00350530,2014,38.5,0.3
138,Edward Everett,48.8,46.6,Boston,51.2,8.9,11.1,00350088,2014,32.2,1.1
139,ELC - East Zone,49.7,65.4,Boston,50.3,12.8,2.2,00350005,2014,19.6,0
140,ELC - North Zone,54.8,37.5,Boston,45.2,12.5,15.4,00350003,2014,33.7,1
141,ELC - West Zone,44.4,57.1,Boston,55.6,16.7,1.6,00350006,2014,23,1.6
142,Elihu Greenwood,46.8,70.4,Boston,53.2,6,0.8,00350094,2014,21.9,1
143,Eliot Elementary,39.3,51.5,Boston,60.7,21.8,3.5,00350096,2014,22.7,0.4
144,Ellis Mendell,37.4,60.8,Boston,62.6,31.1,0.4,00350100,2014,7.7,0
145,Emily A Fifield,50.2,83.7,Boston,49.8,6.2,1,00350102,2014,8,1
146,Farragut,53.3,54.1,Boston,46.7,17.5,14,00350108,2014,14.4,0
147,FRANK V THOMPSON MIDDLE,0,0,Boston,0,0,0,00350114,2014,0,0
148,Franklin D Roosevelt,45.2,62.7,Boston,54.8,5.8,1.1,00350116,2014,29.9,0.5
149,George H Conley,46.5,38.2,Boston,53.5,15.3,2.3,00350122,2014,43.9,0.3
150,Grover Cleveland,48.4,59.2,Boston,51.6,22.4,6,00350415,2014,12,0.5
151,HARRIET A BALDWIN,0,0,Boston,0,0,0,00350129,2014,0,0
152,Harvard-Kent,47,24.9,Boston,53,9.3,36,00350200,2014,29.3,0.5
153,Henry Grew,55.2,60.2,Boston,44.8,9.6,1.3,00350135,2014,28,1
154,Henry L Higginson,44.1,71.4,Boston,55.9,16,1.9,00350137,2014,8.9,1.9
155,Horace Mann,47.8,32.7,Boston,52.2,39.8,7.1,00350750,2014,20.4,0
156,Hugh Roe O'Donnell,48.8,12.3,Boston,51.2,26.3,18.2,00350141,2014,42.9,0.3
