SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
Boston - Agassiz,00350007,23.8,1.2,64.7,10.1,0.2,51.1,48.9
Boston - Alexander Hamilton,00350011,31.7,42.3,8.9,17.1,,57.7,42.3
Boston - Beethoven,00350021,42.7,4.7,16.1,36.1,0.3,58.2,41.8
Boston - Blackstone,00350390,32.4,1.2,59.9,6.1,0.4,51.3,48.7
Boston - BOSTON HIGH SCHOOL,00350650,,,,,,0,0
Boston - Boston Latin,00350560,22.8,16.6,10.4,50,0.2,44.4,55.6
Boston - Boston Latin Academy,00350545,32.7,18.3,7,41.8,0.3,42.9,57.1
Boston - Brighton High,00350505,42.5,24.4,25.9,6.9,0.3,49.9,50.1
Boston - Carter Develop Day Care,00350036,42.9,,35.7,21.4,,50,50
Boston - Charles H Taylor,00350054,87,1.5,3.2,7.2,1,49.5,50.5
Boston - Charles Sumner,00350052,33.1,1.8,34.7,30,0.3,55,45
Boston - Charlestown High,00350515,37.5,23.7,23,15.4,0.3,54.5,45.5
Boston - Clarence R Edwards Middle,00350430,34.5,26.6,19.8,19,0.2,58.3,41.7
Boston - Curtis Guild,00350062,27.7,30.6,10.3,31.4,,54.5,45.5
Boston - Dante Alighieri,00350066,18.5,9.5,26.2,45.8,,50.6,49.4
Boston - David A Ellis,00350072,42.6,0.2,55.8,1.5,,47.1,52.9
Boston - Dearborn,00350074,74.9,2.1,18.5,4.5,,48.7,51.3
Boston - Dennis C Haley,00350077,62.8,1.7,14,21.2,0.3,48.1,51.9
Boston - Donald Mckay,00350080,18.6,0.3,56,24.9,0.2,53.5,46.5
Boston - DORCHESTER HIGH,00350520,,,,,,0,0
Boston - East Boston High,00350530,26.3,6.6,28.2,38.5,0.3,54.5,45.5
Boston - Edward Everett,00350088,46.6,11.1,8.9,32.2,1.1,51.2,48.8
Boston - ELC - East Zone,00350005,65.4,2.2,12.8,19.6,,50.3,49.7
Boston - ELC - North Zone,00350003,37.5,15.4,12.5,33.7,1,45.2,54.8
Boston - ELC - West Zone,00350006,57.1,1.6,16.7,23,1.6,55.6,44.4
Boston - Elihu Greenwood,00350094,70.4,0.8,6,21.9,1,53.2,46.8
Boston - Eliot Elementary,00350096,51.5,3.5,21.8,22.7,0.4,60.7,39.3
Boston - Ellis Mendell,00350100,60.8,0.4,31.1,7.7,,62.6,37.4
Boston - Emily A Fifield,00350102,83.7,1,6.2,8,1,49.8,50.2
Boston - Farragut,00350108,54.1,14,17.5,14.4,,46.7,53.3
Boston - FRANK V THOMPSON MIDDLE,00350114,,,,,,0,0
Boston - Franklin D Roosevelt,00350116,62.7,1.1,5.8,29.9,0.5,54.8,45.2
Boston - George H Conley,00350122,38.2,2.3,15.3,43.9,0.3,53.5,46.5
Boston - Grover Cleveland,00350415,59.2,6,22.4,12,0.5,51.6,48.4
Boston - HARRIET A BALDWIN,00350129,,,,,,0,0
Boston - Harvard-Kent,00350200,24.9,36,9.3,29.3,0.5,53,47
Boston - Henry Grew,00350135,60.2,1.3,9.6,28,1,44.8,55.2
Boston - Henry L Higginson,00350137,71.4,1.9,16,8.9,1.9,55.9,44.1
Boston - Horace Mann,00350750,32.7,7.1,39.8,20.4,,52.2,47.8
Boston - Hugh Roe O'Donnell,00350141,12.3,18.2,26.3,42.9,0.3,51.2,48.8
