SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Boston - Another Course To College,00350541,46.3,6.9,37.2,7.8,0.4,0,1.3,49.8,50.2
Boston - Baldwin Early Learning Center,00350003,17.5,14.4,25.6,36.2,0,0,6.2,58.1,41.9
Boston - Beethoven,00350021,22.6,4.5,35,33.4,0,0,4.5,56.7,43.3
Boston - Blackstone,00350390,22.2,1.3,72.9,3,0,0.2,0.5,51.6,48.4
Boston - Boston Adult Academy,00350548,64.6,4.2,28.3,1.9,0,0,0.9,57.5,42.5
Boston - Boston Arts Academy,00350546,38.7,3.1,40,15.5,0.4,0,2.2,36.2,63.8
Boston - Boston Community Leadership Academy,00350558,38.6,3.8,47.4,8.1,0.2,0.4,1.5,45.5,54.5
Boston - Boston International High School,00350507,46.7,2.3,47.2,2,0,0,1.7,53.6,46.4
Boston - Boston Latin,00350560,9.5,29,10.6,47.7,0,0.1,3.1,44.7,55.3
Boston - Boston Latin Academy,00350545,27.1,21.4,20.7,28.2,0.7,0.2,1.8,42.5,57.5
Boston - Boston Middle School Academy,00350413,50,0,50,0,0,0,0,90,10
Boston - Boston Teachers Union School,00350012,30.6,2.4,41.5,21.2,0.6,0.3,3.3,47,53
Boston - Brighton High,00350505,45.8,3.2,43.7,5.6,0.1,0,1.6,53.3,46.7
Boston - Carter Developmental Center,00350036,66.7,12.5,12.5,8.3,0,0,0,58.3,41.7
Boston - Charles H Taylor,00350054,77.7,2.1,16.8,0.8,0.6,0,2.1,51.3,48.7
Boston - Charles Sumner,00350052,21.7,2.4,66.4,7.7,0.2,0,1.7,51.8,48.2
Boston - Charlestown High,00350515,41.9,20.1,30.4,6.2,0.4,0.1,0.9,56.3,43.7
Boston - Clarence R Edwards Middle,00350430,15.7,12.2,64.8,6.3,0,0,1,55.7,44.3
Boston - Community Academy,00350518,40.3,0,16.4,40.3,0,0,3,64.2,35.8
Boston - Community Academy of Science and Health,00350581,77.2,2.1,16,2.4,0.3,0,2.1,49.5,50.5
Boston - Curley K-8 School,00350020,18.7,2.8,57.9,17,0.4,0,3.3,50.6,49.4
Boston - Curtis Guild,00350062,1.9,0.6,85.2,11.6,0,0,0.6,55.7,44.3
Boston - David A Ellis,00350072,33.1,0.3,65.4,0.3,0,0,1,50,50
Boston - Dearborn,00350074,64,0.8,27.1,2.7,0.8,0,4.7,52.3,47.7
Boston - Dennis C Haley,00350077,29.8,3.1,30.5,29.5,0.3,0.3,6.5,55.4,44.6
Boston - Donald Mckay,00350080,2.8,0.1,90.2,6,0.1,0,0.7,51.7,48.3
Boston - Dorchester Academy,00350651,68.8,4,20.4,2.5,0.8,1,2.5,53.5,46.5
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,54.6,4.1,39.2,0.5,0.5,0,1,56.7,43.3
Boston - Dr. William Henderson,00350266,25.9,9.1,18.9,43.6,0,0,2.5,49.4,50.6
Boston - East Boston Early Childhood Center,00350009,3.6,1.5,71.4,19.9,0,0,3.6,53.6,46.4
Boston - East Boston High,00350530,13.2,1.7,66.4,17.7,0.2,0,0.7,56.3,43.7
Boston - Edison K-8,00350375,23.8,12.2,45.6,15.3,0.7,0,2.3,54.8,45.2
Boston - Edward Everett,00350088,38.2,21.1,31.4,6.4,0.4,0,2.5,51.8,48.2
Boston - ELC - West Zone,00350006,31.1,3.3,53.3,8.9,0,0,3.3,53.3,46.7
Boston - Elihu Greenwood Leadership Academy,00350094,56.3,1.1,38.9,1.6,0,0,2.1,47.2,52.8
Boston - Eliot Elementary,00350096,15.7,2.3,29.6,49,0,0,3.4,52.3,47.7
Boston - Ellis Mendell,00350100,23.5,0,43.4,24.8,0,0.4,8,45.6,54.4
Boston - Excel High School,00350522,38.4,22.5,23.3,13.6,0.5,0,1.6,56.7,43.3
Boston - Fenway High School,00350540,38.5,4,47.1,8.9,0.3,0,1.2,46.5,53.5
Boston - Franklin D Roosevelt,00350116,38.1,1.3,35.2,22,0,0.4,3,51.7,48.3
Boston - Gardner Pilot Academy,00350326,16.7,6.5,60.2,12.6,0,0.3,3.8,53,47
Boston - George H Conley,00350122,36.2,3.2,37.6,19.7,0,0,3.2,54.6,45.4
Boston - Greater Egleston Community High School,00350543,37.7,1.1,52.6,6.9,0.6,0,1.1,45.1,54.9
Boston - Harbor School,00350426,62.8,4.4,20.5,8.1,1.7,0.3,2.3,56.4,43.6
Boston - Harvard-Kent,00350200,21.4,29.5,37.4,9.1,0.2,0,2.5,53,47
Boston - Haynes Early Education Center,00350010,49.4,1.7,48.3,0,0,0,0.6,51.1,48.9
Boston - Henry Grew,00350135,49.2,3.2,38.5,6,0,0.4,2.8,44.4,55.6
Boston - Higginson,00350015,45.2,0.6,42.7,7,0,0.6,3.8,57.3,42.7
Boston - Higginson/Lewis K-8,00350377,58.2,1.3,33.2,2.6,0.5,0,4.3,54.1,45.9
Boston - Horace Mann School for the Deaf,00350750,36,9,41.4,11.7,0,0,1.8,51.4,48.6
