SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ABINGTON - ABINGTON ECC,00010003,1.5,0.5,0.5,97.6,0.0,51.6,48.4
ABINGTON - ABINGTON HIGH,00010505,1.4,0.9,0.4,97.3,0.0,50.6,49.4
ABINGTON - CENTER,00010005,3.1,0.5,1.0,95.4,0.0,53.8,46.2
ABINGTON - FROLIO JR HS,00010405,0.6,1.7,0.8,96.9,0.0,46.0,54.0
ABINGTON - NORTH,00010010,1.0,0.0,0.0,99.0,0.0,44.3,55.7
ABINGTON - WOODSDALE,00010015,0.0,0.9,0.6,98.6,0.0,54.3,45.7
ACADEMY OF PACIFIC RIM CH - ACADEMY OF PACIFIC RIM,04120530,53.0,9.0,14.0,24.0,0.0,44.0,56.0
ACTON - DOUGLAS,00020020,0.4,9.4,2.2,88.0,0.0,51.9,48.1
ACTON - GATES,00020025,0.0,7.3,0.2,92.5,0.0,49.7,50.3
ACTON - LUTHER CONANT,00020030,0.8,10.0,0.8,88.4,0.0,51.4,48.6
ACTON - MCCARTHY-TOWNE,00020015,0.6,4.6,3.0,91.8,0.0,55.1,44.9
ACTON - MERRIAM,00020010,3.6,4.9,2.3,89.3,0.0,49.7,50.3
ACTON-BOXBOROUGH - ACTON-BOXBOROUGH REG HIGH,06000505,1.1,7.3,2.3,88.6,0.7,51.1,48.9
ACTON-BOXBOROUGH - RAYMOND J GREY REG JH,06000405,0.4,6.0,1.1,92.1,0.4,51.3,48.7
ACUSHNET - ACUSHNET ELEMENTARY SCH,00030025,1.2,0.3,0.6,98.0,0.0,51.4,48.6
ACUSHNET - ALBERT F FORD MIDDLE SCH,00030305,2.3,0.5,2.6,94.5,0.0,55.7,44.3
ADAMS-CHESHIRE - ADAMS MIDDLE,06030305,0.2,1.3,0.4,98.1,0.0,52.0,48.0
ADAMS-CHESHIRE - CHESHIRE ELEMENTARY,06030004,1.8,0.6,0.0,97.3,0.3,57.2,42.8
ADAMS-CHESHIRE - HOOSAC VALLEY HIGH,06030505,0.6,0.2,0.6,98.7,0.0,49.6,50.4
ADAMS-CHESHIRE - PLUNKET ELEMENTARY,06030020,1.3,0.5,0.8,97.5,0.0,51.4,48.6
AGAWAM - AGAWAM HIGH,00050505,0.8,1.1,1.7,96.2,0.2,50.4,49.6
AGAWAM - AGAWAM JUNIOR HIGH,00050405,0.9,0.4,0.7,97.8,0.1,51.9,48.1
AGAWAM - AGAWAM MIDDLE SCHOOL,00050303,1.4,0.6,0.6,97.4,0.0,50.9,49.1
AGAWAM - BENJAMIN J PHELPS,00050020,1.5,1.9,0.7,95.6,0.2,52.9,47.1
AGAWAM - CLIFFORD M GRANGER,00050010,0.6,0.2,1.7,97.5,0.0,50.8,49.2
AGAWAM - JAMES CLARK SCHOOL,00050030,2.4,1.9,1.4,94.3,0.0,50.4,49.6
AGAWAM - ROBINSON PARK,00050025,1.7,0.5,2.9,94.9,0.0,50.2,49.8
AMESBURY - AMESBURY ELEMENTARY,00070005,1.6,0.7,0.0,97.7,0.0,50.0,50.0
AMESBURY - AMESBURY HIGH,00070505,0.6,0.2,0.6,98.6,0.0,47.4,52.6
AMESBURY - AMESBURY MIDDLE,00070013,0.9,0.0,0.3,98.8,0.0,50.5,49.5
AMESBURY - CHARLES C CASHMAN EL,00070010,1.0,0.3,0.8,97.9,0.0,47.9,52.1
AMESBURY - HORACE MANN,00070003,0.5,1.0,1.5,97.1,0.0,52.7,47.3
AMHERST - CROCKER FARM ELEMENTARY,00080009,13.1,10.3,9.0,67.3,0.3,52.3,47.7
AMHERST - FORT RIVER ELEMENTARY,00080020,8.4,13.1,8.1,69.4,1.0,53.2,46.8
AMHERST - MARKS MEADOW LABORATORY,00080030,16.6,10.6,17.6,53.8,1.5,52.3,47.7
AMHERST - WILDWOOD ELEMENTARY,00080050,11.2,11.9,9.1,67.4,0.4,48.3,51.7
AMHERST-PELHAM - AMHERST REGIONAL HIGH,06050505,10.0,9.4,7.9,72.3,0.5,50.9,49.1
AMHERST-PELHAM - AMHERST REGIONAL MS,06050405,8.8,9.5,6.0,75.2,0.4,55.3,44.7
ANDOVER - ANDOVER HIGH,00090505,1.6,6.9,1.6,89.7,0.1,50.2,49.8
ANDOVER - ANDOVER WEST MIDDLE,00090310,0.6,8.0,3.6,87.6,0.1,50.2,49.8
ANDOVER - BANCROFT ELEMENTARY,00090003,0.7,3.0,1.5,94.8,0.0,56.1,43.9
ANDOVER - DOHERTY MIDDLE,00090305,0.7,5.3,1.6,92.4,0.0,51.5,48.5
ANDOVER - HENRY C SANBORN ELEM,00090010,1.7,3.6,0.2,94.4,0.0,50.9,49.1
ANDOVER - SHAWSHEEN EARLY CHILDHOOD,00090005,0.7,2.4,1.7,95.1,0.0,50.3,49.7
ANDOVER - SOUTH ELEMENTARY,00090020,0.5,4.2,0.5,94.8,0.0,54.7,45.3
ANDOVER - WEST ELEMENTARY,00090025,0.9,6.0,3.7,89.1,0.2,54.0,46.0
ARLINGTON - ARLINGTON HIGH,00100505,5.8,5.2,2.4,86.6,0.0,50.1,49.9
ARLINGTON - BRACKETT,00100010,2.4,3.0,0.8,93.8,0.0,49.6,50.4
ARLINGTON - CYRUS E DALLIN,00100025,5.3,4.6,1.7,88.4,0.0,53.7,46.3
ARLINGTON - HARDY,00100030,7.6,9.9,2.8,79.3,0.3,51.3,48.7
ARLINGTON - JOHN A BISHOP,00100005,1.9,4.9,2.5,90.7,0.0,52.2,47.8
ARLINGTON - M NORCROSS STRATTON,00100055,4.3,7.1,5.0,83.6,0.0,54.3,45.7
ARLINGTON - OTTOSON JR HIGH,00100410,6.1,4.0,2.6,87.1,0.2,48.3,51.7
ARLINGTON - PEIRCE,00100045,10.8,3.4,6.3,78.7,0.7,46.3,53.7
ARLINGTON - THOMPSON,00100050,9.7,8.3,2.7,79.1,0.3,56.0,44.0
ASHBURNHAM-WESTMINSTER - BRIGGS ELEM,06100025,0.2,1.6,0.6,97.6,0.0,55.8,44.2
ASHBURNHAM-WESTMINSTER - MEETINGHOUSE SCHOOL,06100010,0.3,1.6,1.3,96.7,0.0,54.8,45.2
