SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,35.6,4.6,25.8,30.2,0.1,0.1,3.6,49.1,50.9
Abington - Abington High,00010505,2.6,1.4,3.4,91.6,0.2,0.0,0.8,50.4,49.6
Abington - Beaver Brook Elementary School,00010003,1.5,1.8,1.6,95.0,0.1,0.0,0.0,50.7,49.3
Abington - Center Elementary School,00010002,1.1,3.7,1.6,92.1,1.6,0.0,0.0,55.8,44.2
Abington - Frolio Middle School,00010405,1.5,0.0,5.8,92.7,0.0,0.0,0.0,50.9,49.1
Abington - Woodsdale Elementary School,00010015,1.9,1.9,2.6,93.2,0.0,0.3,0.0,50.3,49.7
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,57.7,1.4,17.7,19.9,0.0,0.0,3.4,47.9,52.1
Acton - Douglas,00020020,1.0,20.5,1.7,68.3,0.0,0.0,8.5,56.9,43.1
Acton - Gates,00020025,1.3,36.7,1.1,58.3,0.7,0.0,2.0,54.1,45.9
Acton - Luther Conant,00020030,0.8,53.8,1.9,39.3,0.2,0.2,3.7,49.3,50.7
Acton - McCarthy-Towne,00020015,2.1,12.5,6.4,74.4,0.0,0.0,4.6,49.5,50.5
Acton - Merriam,00020010,2.0,25.5,3.3,65.6,0.3,0.0,3.3,53.6,46.4
Acton-Boxborough - Acton-Boxborough Regional High,06000505,1.0,23.3,3.2,70.2,0.2,0.0,2.1,50.1,49.9
Acton-Boxborough - Raymond J Grey Junior High,06000405,1.2,23.4,3.3,67.8,0.2,0.0,4.1,50.6,49.4
Acushnet - Acushnet Elementary School,00030025,0.4,0.0,1.2,98.4,0.0,0.0,0.0,52.6,47.4
Acushnet - Albert F Ford Middle School,00030305,0.9,0.4,0.0,98.5,0.0,0.0,0.2,52.1,47.9
Adams-Cheshire - Cheshire Elementary,06030004,1.8,0.0,0.6,97.6,0.0,0.0,0.0,45.5,54.5
Adams-Cheshire - Hoosac Valley Middle & High School,06030505,3.3,1.0,1.6,93.1,0.6,0.1,0.3,50.2,49.8
Adams-Cheshire - Plunkett Elementary,06030020,4.4,0.4,1.1,93.7,0.2,0.2,0.0,56.1,43.9
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,2.6,24.7,5.4,63.8,0.6,0.1,2.8,52.5,47.5
Agawam - Agawam Early Childhood Center,00050003,2.2,0.7,8.9,85.2,0.0,0.0,3.0,54.1,45.9
Agawam - Agawam High,00050505,2.0,1.9,3.1,91.9,0.2,0.2,0.7,51.3,48.7
Agawam - Agawam Junior High,00050405,0.3,2.3,4.2,91.5,0.2,0.2,1.4,52.8,47.2
Agawam - Benjamin J Phelps,00050020,2.2,4.7,3.3,85.5,0.0,0.0,4.2,44.8,55.2
Agawam - Clifford M Granger,00050010,1.0,1.9,6.5,89.3,0.0,0.0,1.3,51.1,48.9
Agawam - James Clark School,00050030,1.7,3.4,9.0,83.6,0.0,0.0,2.3,48.6,51.4
Agawam - Roberta G. Doering School,00050303,1.0,1.3,3.8,93.0,0.0,0.0,0.8,50.8,49.2
Agawam - Robinson Park,00050025,2.3,1.8,4.7,87.7,0.0,0.0,3.4,51.4,48.6
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,18.8,1.3,44.4,28.1,0.0,0.0,7.5,43.8,56.3
Amesbury - Amesbury Elementary,00070005,1.2,0.7,2.8,91.8,0.0,0.0,3.5,52.6,47.4
Amesbury - Amesbury High,00070505,0.9,1.1,3.4,92.0,0.0,0.0,2.5,53.9,46.1
Amesbury - Amesbury Middle,00070013,1.0,0.5,3.1,92.9,0.0,0.0,2.5,55.5,44.5
Amesbury - Charles C Cashman Elementary,00070010,2.0,1.9,4.5,88.7,0.0,0.4,2.6,48.5,51.5
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150505,0.0,0.0,8.5,87.2,0.0,0.0,4.3,55.3,44.7
Amherst - Crocker Farm Elementary,00080009,11.1,12.6,19.3,51.0,0.0,0.5,5.5,49.0,51.0
Amherst - Fort River Elementary,00080020,9.3,14.9,19.1,47.1,0.0,0.3,9.3,50.8,49.2
Amherst - Wildwood Elementary,00080050,8.1,11.6,19.0,53.5,0.2,0.0,7.6,51.9,48.1
Amherst-Pelham - Amherst Regional High,06050505,6.5,9.5,12.9,63.5,0.0,0.0,7.6,50.9,49.1
Amherst-Pelham - Amherst Regional Middle School,06050405,6.8,11.2,11.4,60.8,0.0,0.2,9.7,56.1,43.9
Andover - Andover High,00090505,1.7,11.7,4.1,80.0,0.2,0.0,2.3,48.8,51.2
Andover - Andover West Middle,00090310,1.8,11.9,3.7,80.3,0.0,0.0,2.3,52.9,47.1
Andover - Bancroft Elementary,00090003,2.9,7.8,6.0,78.8,0.6,0.0,3.9,51.6,48.4
Andover - Doherty Middle,00090305,1.1,8.4,3.0,84.9,0.0,0.0,2.7,48.6,51.4
Andover - Henry C Sanborn Elementary,00090010,3.3,18.6,3.9,71.1,1.4,0.0,1.7,51.1,48.9
Andover - High Plain Elementary,00090004,2.0,22.3,7.4,66.1,0.2,0.0,2.0,48.6,51.4
Andover - Shawsheen School,00090005,2.5,12.0,5.8,73.8,0.0,0.0,5.8,56.4,43.6
Andover - South Elementary,00090020,0.7,16.4,2.2,79.6,0.2,0.4,0.6,52.2,47.8
Andover - West Elementary,00090025,2.4,12.2,4.1,78.4,0.3,0.0,2.6,49.0,51.0
Andover - Wood Hill Middle School,00090350,1.0,16.3,8.6,72.1,0.0,0.0,2.0,53.8,46.2
Arlington - Arlington High,00100505,3.7,9.2,4.5,80.5,0.1,0.1,1.8,48.7,51.3
