id,school,Females,AfricanAmerican,district,Males,Multi,Hispanic,Asian,ORGCODE,year,PacificIslander,White,total,NativeAmerican
1782,State Totals,48.5,8.1,State Totals,51.5,0,8.8,3.7,00000000,1994,0,79.3,100.1,0.2
3585,State Totals,48.5,8,State Totals,51.5,0,9,3.7,00000000,1995,0,79.1,100.0,0.2
5418,State Totals,48.5,8.2,State Totals,51.5,0,9.3,3.8,00000000,1996,0,78.5,100.0,0.2
7260,State Totals,48.5,8.4,State Totals,51.5,0,9.6,4,00000000,1997,0,77.9,100.1,0.2
9116,State Totals,48.6,8.5,State Totals,51.4,0,9.7,4.1,00000000,1998,0,77.5,100.0,0.2
11004,State Totals,48.6,8.6,State Totals,51.4,0,10,4.2,00000000,1999,0,77.1,100.1,0.2
12909,State Totals,48.6,8.6,State Totals,51.4,0,10.2,4.3,00000000,2000,0,76.6,100.0,0.3
14809,State Totals,48.6,8.7,State Totals,51.4,0,10.7,4.4,00000000,2001,0,75.9,100.0,0.3
16763,State Totals,48.6,8.6,State Totals,51.4,0,10.8,4.5,00000000,2002,0,75.7,99.9,0.3
18690,State Totals,48.6,8.8,State Totals,51.4,0,11.2,4.6,00000000,2003,0,75.1,100.0,0.3
20558,State Totals,48.5,8.8,State Totals,51.5,0,11.5,4.7,00000000,2004,0,74.6,99.9,0.3
22432,State Totals,48.6,8.9,State Totals,51.4,0,11.8,4.8,00000000,2005,0,74.2,100.0,0.3
24336,State Totals,48.6,8.3,State Totals,51.4,1.4,12.9,4.6,00000000,2006,0.1,72.4,100.0,0.3
26212,State Totals,48.6,8.2,State Totals,51.4,1.7,13.3,4.8,00000000,2007,0.2,71.5,100.0,0.3
28085,State Totals,48.6,8.1,State Totals,51.4,1.9,13.9,4.9,00000000,2008,0.1,70.8,100.0,0.3
29936,State Totals,48.6,8.2,State Totals,51.4,2,14.3,5.1,00000000,2009,0.1,69.9,99.9,0.3
31769,State Totals,48.7,8.2,State Totals,51.3,2.2,14.8,5.3,00000000,2010,0.1,69.1,100.0,0.3
37277,State Totals,48.8,8.6,State Totals,51.2,2.7,16.4,5.9,00000000,2013,0.1,66,99.9,0.2
39138,State Totals,48.8,8.7,State Totals,51.2,2.9,17,6.1,00000000,2014,0.1,64.9,99.9,0.2
